,NomeParlamentar,Trecho,origem,destino,origem_latitude,origem_longitude,origem_nome,destino_latitude,destino_longitude,destino_nome
86,Vander Loubet,"['CGR', 'GRU']",CGR,CGR,-20.469998,-54.673988,BR-MS Campo Grande,-23.431944,-46.467778,BR-SP São Paulo
87,Vander Loubet,"['CGH', 'BSB']",CGH,CGH,-23.62611,-46.656387,BR-SP São Paulo,-15.869167,-47.920834,BR-DF Brasília
88,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
89,Vander Loubet,"['CGR', 'BSB']",CGR,CGR,-20.469998,-54.673988,BR-MS Campo Grande,-15.869167,-47.920834,BR-DF Brasília
90,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
91,Vander Loubet,"['CGR', 'CGH']",CGR,CGR,-20.469998,-54.673988,BR-MS Campo Grande,-23.62611,-46.656387,BR-SP São Paulo
92,Vander Loubet,"['CGH', 'BSB']",CGH,CGH,-23.62611,-46.656387,BR-SP São Paulo,-15.869167,-47.920834,BR-DF Brasília
93,Vander Loubet,"['CGR', 'BSB']",CGR,CGR,-20.469998,-54.673988,BR-MS Campo Grande,-15.869167,-47.920834,BR-DF Brasília
94,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
95,Vander Loubet,"['CGR', 'BSB']",CGR,CGR,-20.469998,-54.673988,BR-MS Campo Grande,-15.869167,-47.920834,BR-DF Brasília
96,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
97,Vander Loubet,"['CGR', 'BSB']",CGR,CGR,-20.469998,-54.673988,BR-MS Campo Grande,-15.869167,-47.920834,BR-DF Brasília
98,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
99,Vander Loubet,"['CGR', 'BSB']",CGR,CGR,-20.469998,-54.673988,BR-MS Campo Grande,-15.869167,-47.920834,BR-DF Brasília
100,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
