,NomeParlamentar,Partido,datEmissao,ValorLiquido,TipoDespesa
395,Fábio Trad,PSD,01/08/20,"144,67",SERVIÇOS POSTAIS
396,Fábio Trad,PSD,01/08/21,"650,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
397,Fábio Trad,PSD,01/08/21,"206,01999999999998",SERVIÇOS POSTAIS
398,Fábio Trad,PSD,01/09/19,"1432,41",COMBUSTÍVEIS E LUBRIFICANTES.
399,JUNIOR CORINGA,PSD,01/09/19,"230,02",COMBUSTÍVEIS E LUBRIFICANTES.
400,Fábio Trad,PSD,01/09/19,"13150,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
401,Fábio Trad,PSD,01/09/19,"289,8",FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR
402,JUNIOR CORINGA,PSD,01/09/19,"198,8",FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR
403,Fábio Trad,PSD,01/09/19,"6658,780000000001",PASSAGEM AÉREA - RPA
404,JUNIOR CORINGA,PSD,01/09/19,"3583,2000000000003",PASSAGEM AÉREA - RPA
405,Fábio Trad,PSD,01/09/19,"196,63","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO"
406,Fábio Trad,PSD,01/09/19,"84,44",SERVIÇOS POSTAIS
407,Fábio Trad,PSD,01/09/20,"3000,0","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS."
408,Fábio Trad,PSD,01/09/20,"650,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
409,Fábio Trad,PSD,01/09/20,"74,3",SERVIÇOS POSTAIS
410,Fábio Trad,PSD,01/09/21,"50,91",SERVIÇOS POSTAIS
411,Fábio Trad,PSD,01/10/19,"1662,72",COMBUSTÍVEIS E LUBRIFICANTES.
412,Fábio Trad,PSD,01/10/19,"16450,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
413,Fábio Trad,PSD,01/10/19,"446,61",FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR
414,JUNIOR CORINGA,PSD,01/10/19,"72,13",FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR
415,Fábio Trad,PSD,01/10/19,"17097,5",PASSAGEM AÉREA - RPA
416,Fábio Trad,PSD,01/10/19,"288,26","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO"
417,Fábio Trad,PSD,01/10/19,"35,46",SERVIÇOS POSTAIS
418,Fábio Trad,PSD,01/10/20,"650,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
419,Fábio Trad,PSD,01/10/20,"4800,0",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
420,Fábio Trad,PSD,01/10/21,"13173,64",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
421,Fábio Trad,PSD,01/10/21,"86,52",SERVIÇOS POSTAIS
422,Fábio Trad,PSD,01/11/19,"1193,66",COMBUSTÍVEIS E LUBRIFICANTES.
423,JUNIOR CORINGA,PSD,01/11/19,"100,0",COMBUSTÍVEIS E LUBRIFICANTES.
